JournalTitle,ISSN,JournalLink,FakeJournalLink,Publisher,Indexing,Reason,JournalType
"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",1006-5911,http://www.cims-journal.cn/CN/1006-5911/home.shtml,http://cims-journal.com/index.php/CN,Beijing Advanced Manufacturing Technology Consultation Center,CiteScore 1.7/Q3,,Fake
"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",1006-5911,http://www.cims-journal.cn/CN/1006-5911/home.shtml,http://cims-journal.com/index.php/CN,Beijing Advanced Manufacturing Technology Consultation Center,CiteScore 1.7/Q3,,Fake
China Petroleum Processing and Petrochemical Technology,1008-6234,http://www.chinarefining.com/EN/1008-6234/home.shtml,http://www.zgsyjgysyhgjs.cn/index.php/reric/index.html,CHINA PETROLEUM PROCESSING &amp; PETROCHEMICAL TECHNOLOGY PRESS,#,,Fake
Scandinavian Journal of Information Systems,0905-0167 1901-0990,https://aisel.aisnet.org/sjis/,http://sjis.scandinavian-iris.org/index.php/sjis/index,"Department of Mathematics and Computer Science, Institute of Electronic Systems, University of Aalborg",CiteScore 0.9/Q4,,Fake
Changjiang Liuyu Ziyuan Yu Huanjing/Resources and Environment in the Yangtze Valley,1004-8227,#,https://www.clzyhreyv-10048227.com/,Science Press,CiteScore 1.1/Q3,,Fake
Scientific Culture,2408-0071 2407-9529,https://sci-cult.com/aims-scope/,https://www.scientific-culture.com/index.php/sc/about,Henan University,CiteScore 1.3/Q1,,Fake
International Neurourology Journal,2093-4777 2093-6931,https://einj.org/,http://einj.net/index.php/INJ,Korean Association of Medical Journal Editors,CiteScore 4.5/Q2,,Fake
Gorteria,0017-2294,https://www.nationaalherbarium.nl/gorteriaweb/,https://gorteria.nationaalherbarium.com/index.html,NATL HERBARIUM NEDERLAND,WoS (ESCI),,Fake
Yantu Lixue/Rock and Soil Mechanics,1000-7598,http://ytlx.whrsm.ac.cn/EN/1000-7598/home.shtml,http://rockandsoilmechanics.com/,SCIENCE PRESS,CiteScore 3.0/Q2,,Fake
Bulletin of National Institute of Health Sciences,1343-4292,#,https://www.healthsciencesbulletin.com/,National Institute of Health Sciences,_,,Fake
